,Unnamed: 0.33,Unnamed: 0.32,Unnamed: 0.31,Unnamed: 0.30,Unnamed: 0.29,Unnamed: 0.28,Unnamed: 0.27,Unnamed: 0.26,Unnamed: 0.25,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Model,Parameters,Accuracy,Precision,Recall,F1 Score,AUC,Best params
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,,,,,,,,,,,LR,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42), 'lr': LogisticRegression(class_weight={0: 0.6032599321566148, 1: 2.9210746102449887},
                   max_iter=5000, random_state=42, solver='saga')}",0.623082055,0.262088477,0.661688312,0.375460575,0.638397148,"{'imputer__n_neighbors': 3, 'lr__C': 0.001, 'lr__penalty': 'l1', 'smote__sampling_strategy': 'not minority'}"
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,,,,,,,,,,,GBM,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42), 'classifier': LGBMClassifier(class_weight={0: 0.6582293959403277, 1: 2.079984544049459},
               random_state=42)}",0.784568704,0.539189189,0.718918919,0.616216216,0.762142108,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 20, 'classifier__n_estimators': 400}"
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,,,,,,,,,,,QDA,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'qda': QuadraticDiscriminantAnalysis()}",0.85534801,0.657444005,0.324025974,0.434101783,0.644572687,"{'imputer__n_neighbors': 3, 'qda__reg_param': 0.774263682681127}"
35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,,,,,,,,,,,,LR,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'lr': LogisticRegression(class_weight={0: 0.5138093139415307, 1: 18.60372340425532},
                   max_iter=5000, random_state=42, solver='saga')}",0.055814988,0.027707809,1,0.053921569,0.514853748,"{'imputer__n_neighbors': 7, 'lr__C': 0.001, 'lr__penalty': 'l2'}"
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,,,,,,,,,,,,GBM,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'classifier': LGBMClassifier(random_state=42)}",0.866493281,0.14532872,0.40776699,0.214285714,0.647849012,"{'classifier__learning_rate': 0.001, 'classifier__max_depth': 7, 'classifier__n_estimators': 300, 'imputer__n_neighbors': 3}"
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,,,,,,,,,,,QDA,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'qda': QuadraticDiscriminantAnalysis()}",0.959750945,0.24137931,0.231404959,0.23628692,0.605647635,"{'imputer__n_neighbors': 5, 'qda__reg_param': 0.4923882631706752}"
38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,,,,,,,,,,,,,LR,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42), 'lr': LogisticRegression(class_weight={0: 0.6032599321566148, 1: 2.9210746102449887},
                   max_iter=5000, random_state=42, solver='saga')}",0.622748499,0.262130937,0.662987013,0.375712971,0.638711108,"{'imputer__n_neighbors': 5, 'lr__C': 0.001, 'lr__penalty': 'l1', 'smote__sampling_strategy': 'not minority'}"
39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,,,,,,,,,,,,,GBM,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42), 'classifier': LGBMClassifier(class_weight={0: 0.6582293959403277, 1: 2.079984544049459},
               random_state=42)}",0.953185956,0.85645933,0.967567568,0.908629442,0.958098852,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 20, 'classifier__n_estimators': 400, 'imputer__n_neighbors': 3, 'smote__sampling_strategy': 'minority'}"
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,,,,,,,,,,,,,QDA,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'qda': QuadraticDiscriminantAnalysis()}",0.90271292,0.75246773,0.643506494,0.693734687,0.799885793,"{'imputer__n_neighbors': 5, 'qda__reg_param': 0.4923882631706752}"
41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,,,,,,,,,,,,,,LR,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42), 'lr': LogisticRegression(class_weight={0: 0.6032599321566148, 1: 2.9210746102449887},
                   max_iter=5000, random_state=42, solver='saga')}",0.622748499,0.262130937,0.662987013,0.375712971,0.638711108,"{'imputer__n_neighbors': 5, 'lr__C': 0.001, 'lr__penalty': 'l1', 'smote__sampling_strategy': 'not minority'}"
42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,,,,,,,,,,,,,,GBM,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42), 'classifier': LGBMClassifier(class_weight={0: 0.6582293959403277, 1: 2.079984544049459},
               random_state=42)}",0.953185956,0.85645933,0.967567568,0.908629442,0.958098852,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 20, 'classifier__n_estimators': 400, 'imputer__n_neighbors': 3, 'smote__sampling_strategy': 'minority'}"
43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,,,,,,,,,,,,,,QDA,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'qda': QuadraticDiscriminantAnalysis()}",0.903491216,0.754931715,0.646103896,0.696291113,0.801385729,"{'imputer__n_neighbors': 5, 'qda__reg_param': 0.4923882631706752}"
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,,,,,,,,,,,,,,LR,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42), 'lr': LogisticRegression(class_weight={0: 0.5138093139415307, 1: 18.60372340425532},
                   max_iter=5000, random_state=42, solver='saga')}",0.688681343,0.041905444,0.483471074,0.077125906,0.588913325,"{'imputer__n_neighbors': 5, 'lr__C': 10, 'lr__penalty': 'l1', 'smote__sampling_strategy': 'not minority'}"
45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,,,,,,,,,,,,,,,GBM,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42), 'classifier': LGBMClassifier(random_state=42)}",0.807542263,0.181308411,0.941747573,0.304075235,0.871508995,"{'classifier__learning_rate': 0.002, 'classifier__max_depth': 3, 'classifier__n_estimators': 700, 'imputer__n_neighbors': 3, 'smote__sampling_strategy': 'minority'}"
46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,,,,,,,,,,,,,,,QDA,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42), 'qda': QuadraticDiscriminantAnalysis()}",0.954858795,0.237179487,0.305785124,0.267148014,0.63929567,"{'imputer__n_neighbors': 5, 'qda__reg_param': 0.31622776601683794, 'smote__sampling_strategy': 'minority'}"
47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,,,,,,,,,,,,,,,,LR,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42), 'lr': LogisticRegression(class_weight={0: 0.6032599321566148, 1: 2.9210746102449887},
                   max_iter=5000, random_state=42, solver='saga')}",0.622748499,0.262130937,0.662987013,0.375712971,0.638711108,"{'imputer__n_neighbors': 5, 'lr__C': 0.001, 'lr__penalty': 'l1', 'smote__sampling_strategy': 'not minority'}"
48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,,,,,,,,,,,,,,,,GBM,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42), 'classifier': LGBMClassifier(class_weight={0: 0.6582293959403277, 1: 2.079984544049459},
               random_state=42)}",0.953185956,0.85645933,0.967567568,0.908629442,0.958098852,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 20, 'classifier__n_estimators': 400, 'imputer__n_neighbors': 3, 'smote__sampling_strategy': 'minority'}"
49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,,,,,,,,,,,,,,,,QDA,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'qda': QuadraticDiscriminantAnalysis()}",0.903602402,0.754731264,0.647402597,0.696959105,0.801968001,"{'imputer__n_neighbors': 5, 'qda__reg_param': 0.4923882631706752}"
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,,,,,,,,,,,,,,,,,LR,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42), 'lr': LogisticRegression(class_weight={0: 0.6032599321566148, 1: 2.9210746102449887},
                   max_iter=5000, random_state=42, solver='saga')}",0.622748499,0.262130937,0.662987013,0.375712971,0.638711108,"{'imputer__n_neighbors': 5, 'lr__C': 0.001, 'lr__penalty': 'l1', 'smote__sampling_strategy': 'not minority'}"
51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,,,,,,,,,,,,,,,,,GBM,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42), 'classifier': LGBMClassifier(class_weight={0: 0.6582293959403277, 1: 2.079984544049459},
               random_state=42)}",0.953185956,0.85645933,0.967567568,0.908629442,0.958098852,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 20, 'classifier__n_estimators': 400, 'imputer__n_neighbors': 3, 'smote__sampling_strategy': 'minority'}"
52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,,,,,,,,,,,,,,,,,,LR,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42), 'lr': LogisticRegression(class_weight={0: 0.6032599321566148, 1: 2.9210746102449887},
                   max_iter=5000, random_state=42, solver='saga')}",0.622748499,0.262130937,0.662987013,0.375712971,0.638711108,"{'imputer__n_neighbors': 5, 'lr__C': 0.001, 'lr__penalty': 'l1', 'smote__sampling_strategy': 'not minority'}"
53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,,,,,,,,,,,,,,,,,,GBM,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42), 'classifier': LGBMClassifier(class_weight={0: 0.6582293959403277, 1: 2.079984544049459},
               random_state=42)}",0.953185956,0.85645933,0.967567568,0.908629442,0.958098852,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 20, 'classifier__n_estimators': 400, 'imputer__n_neighbors': 3, 'smote__sampling_strategy': 'minority'}"
54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,,,,,,,,,,,,,,,,,,,LR,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42), 'lr': LogisticRegression(class_weight={0: 0.6032599321566148, 1: 2.9210746102449887},
                   max_iter=5000, random_state=42, solver='saga')}",0.622859684,0.262320329,0.663636364,0.376011773,0.639035783,"{'imputer__n_neighbors': 5, 'lr__C': 0.001, 'lr__penalty': 'l1', 'smote__sampling_strategy': 'not minority'}"
55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,,,,,,,,,,,,,,,,,,,,LR,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42), 'lr': LogisticRegression(class_weight={0: 0.6032599321566148, 1: 2.9210746102449887},
                   max_iter=5000, random_state=42, solver='saga')}",0.622859684,0.262320329,0.663636364,0.376011773,0.639035783,"{'imputer__n_neighbors': 5, 'lr__C': 0.001, 'lr__penalty': 'l1', 'smote__sampling_strategy': 'not minority'}"
56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,,,,,,,,,,,,,,,,,,,,GBM,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42), 'classifier': LGBMClassifier(class_weight={0: 0.6582293959403277, 1: 2.079984544049459},
               random_state=42)}",0.953185956,0.85645933,0.967567568,0.908629442,0.958098852,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 20, 'classifier__n_estimators': 400, 'imputer__n_neighbors': 3, 'smote__sampling_strategy': 'minority'}"
57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,,,,,,,,,,,,,,,,,,,,QDA,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'qda': QuadraticDiscriminantAnalysis()}",0.903046475,0.747774481,0.654545455,0.698060942,0.80446618,"{'imputer__n_neighbors': 5, 'qda__reg_param': 0.4923882631706752}"
58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,,,,,,,,,,,,,,,,,,,,,LR,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42), 'lr': LogisticRegression(class_weight={0: 0.5138093139415307, 1: 18.60372340425532},
                   max_iter=5000, random_state=42, solver='saga')}",0.825883923,0.034458509,0.202479339,0.058894231,0.522800456,"{'imputer__n_neighbors': 5, 'lr__C': 0.001, 'lr__penalty': 'l1', 'smote__sampling_strategy': 'not minority'}"
59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,,,,,,,,,,,,,,,,,,,,,GBM,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42), 'classifier': LGBMClassifier(random_state=42)}",0.807542263,0.181308411,0.941747573,0.304075235,0.871508995,"{'classifier__learning_rate': 0.002, 'classifier__max_depth': 3, 'classifier__n_estimators': 700, 'imputer__n_neighbors': 3, 'smote__sampling_strategy': 'minority'}"
60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,,,,,,,,,,,,,,,,,,,,,QDA,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42), 'qda': QuadraticDiscriminantAnalysis()}",0.596397598,0.042656587,0.652892562,0.080081095,0.623864014,"{'imputer__n_neighbors': 5, 'qda__reg_param': 1.0, 'smote__sampling_strategy': 'minority'}"
61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,,,,,,,,,,,,,,,,,,,,,QDA,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42), 'qda': QuadraticDiscriminantAnalysis()}",0.962975317,0.275862069,0.231404959,0.251685393,0.607304399,"{'imputer__n_neighbors': 5, 'qda__reg_param': 0.4923882631706752, 'smote__sampling_strategy': 'minority'}"
62,62,62,62,62,62,62,62,62,62,62,62,62,62,,,,,,,,,,,,,,,,,,,,,,LR,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42), 'lr': LogisticRegression(class_weight={0: 0.6032599321566148, 1: 2.9210746102449887},
                   max_iter=5000, random_state=42, solver='saga')}",0.622970869,0.262021085,0.661688312,0.375391416,0.638330069,"{'imputer__n_neighbors': 3, 'lr__C': 0.001, 'lr__penalty': 'l1', 'smote__sampling_strategy': 'not minority'}"
63,63,63,63,63,63,63,63,63,63,63,63,63,63,,,,,,,,,,,,,,,,,,,,,,GBM,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42), 'classifier': LGBMClassifier(class_weight={0: 0.6582293959403277, 1: 2.079984544049459},
               random_state=42)}",0.953619419,0.852201258,0.976576577,0.91015953,0.961461804,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 20, 'classifier__n_estimators': 100, 'imputer__n_neighbors': 3, 'smote__sampling_strategy': 'minority'}"
64,64,64,64,64,64,64,64,64,64,64,64,64,64,,,,,,,,,,,,,,,,,,,,,,QDA,"{'imputer': KNNImputer(), 'smote': SMOTE(sampling_strategy='minority'), 'qda': QuadraticDiscriminantAnalysis()}",0.899599733,0.739293764,0.638961039,0.685475444,0.796204426,"{'imputer__n_neighbors': 5, 'qda__reg_param': 0.4923882631706752}"
65,65,65,65,65,65,65,65,65,65,65,65,65,,,,,,,,,,,,,,,,,,,,,,,LR,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42), 'lr': LogisticRegression(class_weight={0: 0.6032599321566148, 1: 2.9210746102449887},
                   max_iter=5000, random_state=42, solver='saga')}",0.622970869,0.262021085,0.661688312,0.375391416,0.638330069,"{'imputer__n_neighbors': 3, 'lr__C': 0.001, 'lr__penalty': 'l1', 'smote__sampling_strategy': 'not minority'}"
66,66,66,66,66,66,66,66,66,66,66,66,,,,,,,,,,,,,,,,,,,,,,,,LR,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42), 'lr': LogisticRegression(class_weight={0: 0.6032599321566148, 1: 2.9210746102449887},
                   max_iter=5000, random_state=42, solver='saga')}",0.622970869,0.262021085,0.661688312,0.375391416,0.638330069,"{'imputer__n_neighbors': 3, 'lr__C': 0.001, 'lr__penalty': 'l1', 'smote__sampling_strategy': 'not minority'}"
67,67,67,67,67,67,67,67,67,67,67,67,,,,,,,,,,,,,,,,,,,,,,,,GBM,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42), 'classifier': LGBMClassifier(class_weight={0: 0.6582293959403277, 1: 2.079984544049459},
               random_state=42)}",0.953619419,0.852201258,0.976576577,0.91015953,0.961461804,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 20, 'classifier__n_estimators': 100, 'imputer__n_neighbors': 3, 'smote__sampling_strategy': 'minority'}"
68,68,68,68,68,68,68,68,68,68,68,68,,,,,,,,,,,,,,,,,,,,,,,,QDA,"{'imputer': KNNImputer(), 'smote': SMOTE(sampling_strategy='minority'), 'qda': QuadraticDiscriminantAnalysis()}",0.899266177,0.739064857,0.636363636,0.683879972,0.794972803,"{'imputer__n_neighbors': 5, 'qda__reg_param': 0.4923882631706752}"
69,69,69,69,69,69,69,69,69,69,69,,,,,,,,,,,,,,,,,,,,,,,,,LR,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42), 'lr': LogisticRegression(class_weight={0: 0.5138093139415307, 1: 18.60372340425532},
                   max_iter=5000, random_state=42, solver='saga')}",0.825883923,0.034458509,0.202479339,0.058894231,0.522800456,"{'imputer__n_neighbors': 5, 'lr__C': 0.001, 'lr__penalty': 'l1', 'smote__sampling_strategy': 'not minority'}"
70,70,70,70,70,70,70,70,70,70,70,,,,,,,,,,,,,,,,,,,,,,,,,GBM,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42), 'classifier': LGBMClassifier(random_state=42)}",0.807542263,0.181308411,0.941747573,0.304075235,0.871508995,"{'classifier__learning_rate': 0.002, 'classifier__max_depth': 3, 'classifier__n_estimators': 700, 'imputer__n_neighbors': 3, 'smote__sampling_strategy': 'minority'}"
71,71,71,71,71,71,71,71,71,71,71,,,,,,,,,,,,,,,,,,,,,,,,,QDA,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42), 'qda': QuadraticDiscriminantAnalysis()}",0.962975317,0.275862069,0.231404959,0.251685393,0.607304399,"{'imputer__n_neighbors': 5, 'qda__reg_param': 0.4923882631706752, 'smote__sampling_strategy': 'minority'}"
72,72,72,72,72,72,72,72,72,72,,,,,,,,,,,,,,,,,,,,,,,,,,LR,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42), 'lr': LogisticRegression(class_weight={0: 0.6032599321566148, 1: 2.9210746102449887},
                   max_iter=5000, random_state=42, solver='saga')}",0.622970869,0.262021085,0.661688312,0.375391416,0.638330069,"{'imputer__n_neighbors': 3, 'lr__C': 0.001, 'lr__penalty': 'l1', 'smote__sampling_strategy': 'not minority'}"
73,73,73,73,73,73,73,73,73,73,,,,,,,,,,,,,,,,,,,,,,,,,,GBM,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42), 'classifier': LGBMClassifier(class_weight={0: 0.6582293959403277, 1: 2.079984544049459},
               random_state=42)}",0.953619419,0.852201258,0.976576577,0.91015953,0.961461804,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 20, 'classifier__n_estimators': 100, 'imputer__n_neighbors': 3, 'smote__sampling_strategy': 'minority'}"
74,74,74,74,74,74,74,74,74,,,,,,,,,,,,,,,,,,,,,,,,,,,LR,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42), 'lr': LogisticRegression(class_weight={0: 0.6032599321566148, 1: 2.9210746102449887},
                   max_iter=5000, random_state=42, solver='saga')}",0.622970869,0.262021085,0.661688312,0.375391416,0.638330069,"{'imputer__n_neighbors': 3, 'lr__C': 0.001, 'lr__penalty': 'l1', 'smote__sampling_strategy': 'not minority'}"
75,75,75,75,75,75,75,75,75,,,,,,,,,,,,,,,,,,,,,,,,,,,GBM,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42), 'classifier': LGBMClassifier(class_weight={0: 0.6582293959403277, 1: 2.079984544049459},
               random_state=42)}",0.953619419,0.852201258,0.976576577,0.91015953,0.961461804,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 20, 'classifier__n_estimators': 100, 'imputer__n_neighbors': 3, 'smote__sampling_strategy': 'minority'}"
76,76,76,76,76,76,76,76,76,,,,,,,,,,,,,,,,,,,,,,,,,,,GBM,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42), 'classifier': LGBMClassifier(class_weight={0: 0.6582293959403277, 1: 2.079984544049459},
               random_state=42)}",0.800173385,0.57704918,0.634234234,0.604291845,0.74348698,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 20, 'classifier__n_estimators': 100, 'imputer__n_neighbors': 3, 'smote__sampling_strategy': 'minority'}"
